,date,portfolio_value,weights
54,1991-04-30,112.96418366121515,
55,1991-05-31,112.71019870025322,
56,1991-06-30,113.67588566644368,
57,1991-07-31,114.32813916302948,
58,1991-08-31,113.67651066231235,
59,1991-09-30,113.70956219792504,
60,1991-10-31,113.64901411623336,"{'market': 0.2, 'ocf_at': 0.2, 'seas_11_15an': 0.2, 'ret_1_0': 0.2, 'resff3_12_1': 0.2}"
61,1991-11-30,113.65597121323145,
62,1991-12-31,114.10870524937232,
63,1992-01-31,117.58253308359579,
64,1992-02-29,117.05039550875884,
65,1992-03-31,117.20371496285017,
66,1992-04-30,115.27934158237109,
67,1992-05-31,114.90261489082455,
68,1992-06-30,114.92313860288301,
69,1992-07-31,115.9470211324449,
70,1992-08-31,115.86944449099617,
71,1992-09-30,116.49441736442708,
72,1992-10-31,116.70827621535697,"{'market': 0.2, 'ocf_at': 0.2, 'seas_11_15an': 0.2, 'ret_1_0': 0.2, 'resff3_12_1': 0.2}"
73,1992-11-30,116.50259401462797,
74,1992-12-31,117.12483852653378,
75,1993-01-31,117.94337050400806,
76,1993-02-28,117.55765803123793,
77,1993-03-31,118.00362972540982,
78,1993-04-30,116.99927425217658,
79,1993-05-31,118.40656676384349,
80,1993-06-30,119.46450437136352,
81,1993-07-31,119.02141725078181,
82,1993-08-31,119.89320849021236,
83,1993-09-30,121.11543296365046,
84,1993-10-31,121.83524637995939,"{'market': 0.1111111111111111, 'ocf_at': 0.1111111111111111, 'ocf_at_chg1': 0.1111111111111111, 'noa_at': 0.1111111111111111, 'ret_12_7': 0.1111111111111111, 'ret_1_0': 0.1111111111111111, 'cowc_gr1a': 0.1111111111111111, 'o_score': 0.1111111111111111, 'seas_2_5an': 0.1111111111111111}"
85,1993-11-30,121.59282872608327,
86,1993-12-31,122.0291599411703,
87,1994-01-31,123.353510908292,
88,1994-02-28,124.22885605139027,
89,1994-03-31,124.56203184460945,
90,1994-04-30,124.9157231405298,
91,1994-05-31,124.83260276854075,
92,1994-06-30,124.94703596676797,
93,1994-07-31,124.97180912351615,
94,1994-08-31,125.95233186578709,
95,1994-09-30,126.88220364862833,
96,1994-10-31,128.2404367388052,"{'market': 0.125, 'ocf_at': 0.125, 'noa_at': 0.125, 'ocf_at_chg1': 0.125, 'niq_be_chg1': 0.125, 'ret_1_0': 0.125, 'seas_2_5an': 0.125, 'cowc_gr1a': 0.125}"
97,1994-11-30,128.59370124500566,
98,1994-12-31,129.6898394431917,
99,1995-01-31,129.95596406790946,
100,1995-02-28,131.03472295334578,
101,1995-03-31,131.90451223202766,
102,1995-04-30,132.15171681394654,
103,1995-05-31,131.90687430891487,
104,1995-06-30,133.09170265293375,
105,1995-07-31,132.93445691228723,
106,1995-08-31,133.5846600956967,
107,1995-09-30,133.97407074443842,
108,1995-10-31,134.61179873884745,"{'market': 0.25, 'noa_at': 0.25, 'ocf_at_chg1': 0.25, 'seas_2_5an': 0.25}"
109,1995-11-30,134.23542136941342,
110,1995-12-31,133.57471429773716,
111,1996-01-31,133.43957808731173,
112,1996-02-29,134.37685693228195,
113,1996-03-31,134.26606412830085,
114,1996-04-30,134.67559302330696,
115,1996-05-31,135.74515152805398,
116,1996-06-30,136.06229175162866,
117,1996-07-31,135.80960337485996,
118,1996-08-31,136.2417746986393,
119,1996-09-30,136.33306674816666,
120,1996-10-31,135.64339519981198,"{'market': 0.16666666666666666, 'noa_at': 0.16666666666666666, 'ocf_at': 0.16666666666666666, 'seas_2_5an': 0.16666666666666666, 'ocf_at_chg1': 0.16666666666666666, 'rmax5_rvol_21d': 0.16666666666666666}"
121,1996-11-30,135.56089058172265,
122,1996-12-31,136.6951674872301,
123,1997-01-31,138.31366975849846,
124,1997-02-28,137.3321275459908,
125,1997-03-31,138.81824821261466,
126,1997-04-30,138.5284113764165,
127,1997-05-31,140.34453962679046,
128,1997-06-30,140.8965369660065,
129,1997-07-31,141.76042198230283,
130,1997-08-31,143.74222912383757,
131,1997-09-30,143.80175101347348,
132,1997-10-31,143.4008962999146,"{'market': 0.25, 'noa_at': 0.25, 'seas_2_5an': 0.25, 'ocf_at_chg1': 0.25}"
133,1997-11-30,143.10093242510914,
134,1997-12-31,142.18510330407145,
135,1998-01-31,143.0236743886617,
136,1998-02-28,143.30191941352692,
137,1998-03-31,143.73635954122543,
138,1998-04-30,145.53063544315387,
139,1998-05-31,145.25356022708266,
140,1998-06-30,145.826038974411,
141,1998-07-31,146.5816599715129,
142,1998-08-31,144.07092445965162,
143,1998-09-30,145.60720628524433,
144,1998-10-31,144.58672610502808,"{'market': 0.125, 'noa_at': 0.125, 'seas_2_5an': 0.125, 'ocf_at_chg1': 0.125, 'niq_be_chg1': 0.125, 'ebitda_mev': 0.125, 'rmax5_rvol_21d': 0.125, 'rskew_21d': 0.125}"
145,1998-11-30,146.01347756883777,
146,1998-12-31,145.85348316669723,
147,1999-01-31,145.2324209489991,
148,1999-02-28,145.98663388787895,
149,1999-03-31,143.5458737643555,
150,1999-04-30,143.98704105257116,
151,1999-05-31,145.79300717382802,
152,1999-06-30,145.62883146102502,
153,1999-07-31,146.3104885466829,
154,1999-08-31,145.4099361231304,
155,1999-09-30,144.66614543763788,
156,1999-10-31,143.4692618851852,"{'market': 0.16666666666666666, 'noa_at': 0.16666666666666666, 'seas_2_5an': 0.16666666666666666, 'ocf_at_chg1': 0.16666666666666666, 'fcf_me': 0.16666666666666666, 'dsale_drec': 0.16666666666666666}"
157,1999-11-30,143.97684413024635,
158,1999-12-31,141.8051157324882,
159,2000-01-31,142.788708736122,
160,2000-02-29,144.07999342398494,
161,2000-03-31,145.84844401921964,
162,2000-04-30,147.0301808387774,
163,2000-05-31,147.77722308768557,
164,2000-06-30,150.79753856831005,
165,2000-07-31,152.28496606278424,
166,2000-08-31,152.6276629026482,
167,2000-09-30,155.57326435474792,
168,2000-10-31,157.09982100278802,"{'market': 0.2, 'noa_at': 0.2, 'seas_2_5an': 0.2, 'oaccruals_ni': 0.2, 'niq_at_chg1': 0.2}"
169,2000-11-30,156.87660810413237,
170,2000-12-31,156.2436089052259,
171,2001-01-31,162.3661066791141,
172,2001-02-28,165.10648589792515,
173,2001-03-31,165.7493977888809,
174,2001-04-30,166.70277796943196,
175,2001-05-31,169.3610594354334,
176,2001-06-30,172.23711148994587,
177,2001-07-31,171.02752040423348,
178,2001-08-31,171.9744886174388,
179,2001-09-30,171.7738032870994,
180,2001-10-31,173.39446939521102,"{'market': 0.2, 'noa_at': 0.2, 'seas_2_5an': 0.2, 'oaccruals_ni': 0.2, 'niq_be_chg1': 0.2}"
181,2001-11-30,176.1125042595877,
182,2001-12-31,177.92804178576225,
183,2002-01-31,178.6705563026097,
184,2002-02-28,176.07084937838982,
185,2002-03-31,176.65994716010255,
186,2002-04-30,178.8020074947987,
187,2002-05-31,177.91901333025797,
188,2002-06-30,177.31821285185887,
189,2002-07-31,177.0560513040202,
190,2002-08-31,175.8651629543909,
191,2002-09-30,177.02373236141122,
192,2002-10-31,179.3828340385078,"{'market': 0.1111111111111111, 'nfna_gr1a': 0.1111111111111111, 'seas_2_5an': 0.1111111111111111, 'resff3_12_1': 0.1111111111111111, 'ival_me': 0.1111111111111111, 'cash_at': 0.1111111111111111, 'resff3_6_1': 0.1111111111111111, 'cowc_gr1a': 0.1111111111111111, 'niq_at': 0.1111111111111111}"
193,2002-11-30,179.896960976066,
194,2002-12-31,178.55448316693298,
195,2003-01-31,179.34207746649298,
196,2003-02-28,179.77821366721975,
197,2003-03-31,179.99921464094467,
198,2003-04-30,181.25474897002564,
199,2003-05-31,183.15258418791245,
200,2003-06-30,184.28075009837644,
201,2003-07-31,186.4152910882851,
202,2003-08-31,186.63268872517324,
203,2003-09-30,188.90720273459783,
204,2003-10-31,189.581824568059,"{'market': 0.16666666666666666, 'nfna_gr1a': 0.16666666666666666, 'seas_2_5an': 0.16666666666666666, 'resff3_12_1': 0.16666666666666666, 'ival_me': 0.16666666666666666, 'rd_sale': 0.16666666666666666}"
205,2003-11-30,190.08575144888755,
206,2003-12-31,188.94367833699602,
207,2004-01-31,193.84040627033636,
208,2004-02-29,192.9922139177593,
209,2004-03-31,193.05454626515072,
210,2004-04-30,190.95334598271083,
211,2004-05-31,191.21109154315417,
212,2004-06-30,190.9017135855213,
213,2004-07-31,189.7532362408767,
214,2004-08-31,189.58657228484395,
215,2004-09-30,190.0616678123696,
